entity_id,list_id,entity_name,COUNT(R.rating)
1,1,Beijing,24
2,1,"Dim Sum Garden",29
3,1,"La Viola",31
4,1,"Banana Leaf",32
5,1,Iztaccihuatl,16
6,2,"Tap House",34
7,2,"White Dog",34
8,2,"Renata's Kitchen",25
9,2,"Sabrina's Cafe",36
10,2,"Farmacy Rx",22
11,3,Lynn's,18
12,3,"Don Memmo's",8
13,3,"Magic Carpet",18
14,3,"Kim's Food Truck",13
15,3,Nora's,6
16,4,Saxby's,25
17,4,Starbucks,26
18,4,HubBub,25
19,4,Capogiro,21
20,4,"United by Blue",22
21,1,Lolitas,10
22,1,"Thai Singha",19
23,1,Sitar,24
24,1,"Will BYOB",8
25,2,Parc,27
26,5,"Starbucks Under Comm",3
27,4,"Elixr Cafe",15
28,8,Rodin,15
29,8,KCEH,14
30,8,Harnwell,15
31,8,Harrison,14
32,8,Ware,16
33,8,Riepe,15
34,8,"Sansom West",13
35,8,Fisher,16
36,8,Hill,19
37,9,Sitar,9
38,9,"Han Dynasty",18
39,9,Zestos,14
40,9,Co-Zara,5
41,9,Ochatto,13
42,9,SweetGreen,14
43,9,Chipotle,14
44,9,Bobby's,12
45,9,Beijing,11
46,9,Wawa,15
47,10,Barbuzzo,4
48,3,"Amir's Gyro",13
49,3,MexiCali,10
50,3,"Schmear It",19
51,3,Bui's,17
52,12,"Best Of Penn",12
53,1,Aksum,18
54,3,Tang's,7
55,5,"Joe's Cafe",1
56,6,"$3 Long Island Iced ",10
57,8,Gregory,11
58,11,"South Street",7
59,11,Gayborhood,8
60,9,"White Dog",14
61,9,"Doc Magrogan's",6
62,9,Koreana,14
63,9,UTown,6
64,9,"Frogro Food Court th",8
65,6,"Copa Margs",14
66,10,"Fogo de Chao",5
67,10,Mercato,3
68,5,"Starbucks Under Comm",2
69,5,"Van Pelt",1
70,6,"Mad Mex",13
71,7,Rumor,6
72,7,Recess,5
73,7,"Tria Cafe Rittenhous",7
74,3,"Tyson's Bees",13
75,9,HipCityVeg,10
76,11,Fishtown,6
77,11,"Old City",7
78,10,"High Street On Marke",3
79,4,"La Colombe",12
80,1,Saigon,18
81,3,"Sugar Philly",11
82,4,"Green Line Cafe",18
83,6,"Distrito Happy Hour",9
84,3,"Sonic Cheesesteak",7
85,5,"Fisher Fine Arts Lib",1
87,5,"Harrison mezzanine",2
89,5,"Rodin Rooftop lounge",2
90,5,"Harrison rooftop lou",2
91,5,"harnwell rooftop lou",2
92,3,"Cucina Zapata",6
93,2,Ant,11
94,2,"Ant's Pants Cafe",15
95,4,"Good Karma Cafe",8
96,4,"Joe's ",12
97,3,"Chez Yasmine",5
98,10,"Alma De Cuba",4
99,10,Zahav,3
100,10,"Wedge and Fig",2
101,9,"Ramen Bar",10
102,9,"Kitchen Gia",3
103,1,"Shanghai Station ",9
104,1,Koreana,20
105,9,"sangkee noodle house",4
106,9,"Shanghai Station",4
107,10,"Garces Trading Compa",3
109,13,"Kiwi Frozen Yogurt",9
110,13,"Insomnia Cookie",11
111,14,"Miel Patisserie ",4
112,14,Magpie,4
113,14,Yogorino,8
114,13,"Pari Cafe Creperie",4
115,4,"Petrus Py Cafe",11
116,9,"Spicy Sichuan",2
117,2,"Distrito ",19
118,2,"Hill Dining ",30
119,14,Carlos,2
120,14,Kiwi,8
121,12,Shiki,5
122,19,"Women Squash ",4
123,19,"Men Squash ",4
124,19,"Women Field Hockey ",2
125,19,"Men Tennis ",5
126,19,Football,5
127,19,"Women Light Weight R",2
128,2,Honey's,15
129,15,"College Green ",4
130,12,"Truck 'n Go",6
131,20,"Education Commons",7
132,20,Towne,5
133,9,"Greek Lady",9
134,9,"Waterfront Cafe",3
135,9,Wishbone,8
136,10,"Butcher and Singer",5
137,21,"Computer Science",14
138,13,Yogorino,6
139,14,"Cake and the Beansta",4
140,14,"Scoop DeVille",4
141,3,Terry's,9
142,16,"River trail",11
143,2,Aksum,13
144,1,Marrakesh,12
145,4,"Square One Coffee",6
146,1,"Ken's Seafood",17
147,7,"Hop Sing Laundromat",3
148,7,"National Mechanics",3
149,7,"Charlie Was a Sinner",4
150,7,"Graffiti Bar",3
151,3,Hemo's,4
152,3,"The Real Le Ahn's",5
154,9,"New Deck Tavern",4
155,9,"Federal Donuts",5
156,9,Mizu,2
157,17,"Cassie Mogilner",3
158,17,"Chris Callison-Burch",10
159,17,"Rajiv Gandhi",8
160,17,"Stephanie Weirich",6
161,17,"Drew Carton",2
162,17,"Gizem Saka",3
163,10,Lolita,1
164,10,"Dim Sum Garden",3
165,10,Zavino,5
166,6,Smoke's,10
167,6,"Doc Magrogan's",5
168,6,"William Street Commo",5
169,1,Sakura,6
170,1,"Smile Cafe",5
171,1,"Bistro la Baia",9
172,1,"Giorgio on Pine",10
173,10,"Marigold Kitchen",2
174,2,"Honest Tom's",29
175,10,"Luke's Lobster",1
176,18,"Arch Patio",8
177,21,Finance,9
178,15,"My own house",5
180,20,"My own bed!",9
181,16,"Woodlands Cemetary l",7
182,16,"Baltimore Ave/Clark ",5
183,19,"Men's Club Lacrosse!",4
184,22,"Walk downtown",11
185,2,"Greek Lady",22
186,2,"The Gold Standard Ca",10
187,1,"Nom Wah Tea Parlor",8
188,1,"Honest Tom's",18
189,4,"Avril 50",8
190,4,"Federal Donuts",9
191,7,McGillin's,4
192,7,"Bob and Barbara's",3
193,18,"College Green",9
194,18,"Highrise Field",9
195,18,"Van Pelt",8
196,18,"Engineering Cafe",8
197,1,"La Fontana",15
198,20,"Highrise Field",4
199,22,"Go to the movies",6
200,22,Party,9
201,22,"Happy Hour",8
202,22,SABS,5
203,21,NETS,10
204,21,Econ,7
205,21,Philosophy,4
206,21,DMD,5
207,21,PPE,5
208,21,Communications,4
209,21,Statistics,6
210,21,Marketing,5
211,21,BE,5
212,21,CBE,5
213,21,Chemistry,5
214,21,Polyscience,5
215,21,English,5
216,21,Psychology,5
217,21,IPD,4
218,21,MEAM,5
219,21,Systems,6
220,21,History,4
221,17,"Sanjeev Khanna",5
222,17,"Matthew Hersch",3
223,17,"Steve Zdancewic",4
224,2,"William Street Commo",10
225,1,"Square on Square",3
226,4,"Rival Bros",5
227,6,"Tap House",8
228,22,"Go to NY",4
229,9,"Baby Blue's BBQ",7
230,17,"Chris Murphy",2
231,8,"New College House",4
232,22,"The Franklin Institu",4
233,22,"Magic Gardens",3
234,22,"River Walk",4
235,22,"Please Touch Museum",4
236,22,"Spruce Street Harbor",6
239,2,Harvest,9
240,24,"Abner's Cheesesteaks",5
241,24,"Zesto Pizza and Gril",4
242,24,"Terry's Food Truck",3
243,24,"Brotherly Grub Food ",3
244,8,"King's Court English",8
245,3,"Brotherly Grub",6
246,11,"Rittenhouse Square",3
247,5,"my bed",3
248,20,"Field in front of th",3
249,10,Fork,2
250,10,"The Dandelion",2
251,25,McDonald's,18
252,25,"Qdoba Mexican Eats",16
253,25,"Chipotle Mexican Gri",18
254,25,"Jake's Sandwich Boar",17
255,25,"Taco Bell",15
256,25,Subway,14
257,25,Quiznos,13
258,22,"Reading Terminal Mar",8
259,7,"Kildare's Manayunk",3
260,10,"Dalessandro's Steaks",2
261,10,"Bank & Bourbon",2
262,18,"Penn Park",9
