list_id,list_name,entity_name,entity_id,num_ratings,avg_rating,rating_stddev
1,"Best BYOs",Beijing,1,24,2.3333,1.0274023338281628
1,"Best BYOs","Dim Sum Garden",2,29,4.0690,0.9070997543424762
1,"Best BYOs","La Viola",3,31,3.7742,1.1834797630867187
1,"Best BYOs","Banana Leaf",4,32,3.7813,1.0226917607470982
1,"Best BYOs",Iztaccihuatl,5,16,3.0000,1.4142135623730951
2,"Best Brunch Spots","Tap House",6,34,3.9706,0.9230796956750128
2,"Best Brunch Spots","White Dog",7,34,4.3235,0.6739081904346822
2,"Best Brunch Spots","Renata's Kitchen",8,25,4.0800,0.9765244492586962
2,"Best Brunch Spots","Sabrina's Cafe",9,36,4.5278,0.8655798028268267
2,"Best Brunch Spots","Farmacy Rx",10,22,3.9091,1.1244833524411801
3,"Best Food Trucks",Lynn's,11,18,4.3333,0.8819171036881969
3,"Best Food Trucks","Don Memmo's",12,8,3.7500,1.1989578808281798
3,"Best Food Trucks","Magic Carpet",13,18,3.5556,1.1653431646335017
3,"Best Food Trucks","Kim's Food Truck",14,13,4.0769,1.2064913185660093
3,"Best Food Trucks",Nora's,15,6,4.0000,1.1547005383792515
4,"Best Coffee Shop",Saxby's,16,25,3.4800,1.2039933554633928
4,"Best Coffee Shop",Starbucks,17,26,3.6923,1.029160627712281
4,"Best Coffee Shop",HubBub,18,25,3.8400,1.1551623262554922
4,"Best Coffee Shop",Capogiro,19,21,3.6667,1.1268723396380222
4,"Best Coffee Shop","United by Blue",20,22,3.6818,1.2572106078126664
1,"Best BYOs",Lolitas,21,10,3.0000,1.2649110640673518
1,"Best BYOs","Thai Singha",22,19,3.7368,0.8486587103472157
1,"Best BYOs",Sitar,23,24,3.7917,0.8650224788344456
1,"Best BYOs","Will BYOB",24,8,3.2500,1.0897247358851685
2,"Best Brunch Spots",Parc,25,27,4.0000,1.0886621079036345
5,"Best Places to Study","Starbucks Under Comm",26,3,3.3333,0.4714045207910316
4,"Best Coffee Shop","Elixr Cafe",27,15,3.6667,1.2472191289246473
8,"Best Dorm",Rodin,28,15,2.9333,1.1234866364235145
8,"Best Dorm",KCEH,29,14,2.5714,1.498298354528788
8,"Best Dorm",Harnwell,30,15,2.5333,1.087300428686673
8,"Best Dorm",Harrison,31,14,3.4286,1.3997084244475302
8,"Best Dorm",Ware,32,16,4.0625,1.2975337182516684
8,"Best Dorm",Riepe,33,15,3.4667,1.3097921802925665
8,"Best Dorm","Sansom West",34,13,1.9231,1.1409536133993328
8,"Best Dorm",Fisher,35,16,3.3125,1.30952042748481
8,"Best Dorm",Hill,36,19,2.5789,1.5326547135327409
9,"Best Restaurants On Campus",Sitar,37,9,3.8889,0.8748897637790901
9,"Best Restaurants On Campus","Han Dynasty",38,18,4.8333,0.5
9,"Best Restaurants On Campus",Zestos,39,14,3.9286,0.8835226340609272
9,"Best Restaurants On Campus",Co-Zara,40,5,3.4000,1.019803902718557
9,"Best Restaurants On Campus",Ochatto,41,13,4.1538,0.7692307692307692
9,"Best Restaurants On Campus",SweetGreen,42,14,4.0714,0.7985957062499248
9,"Best Restaurants On Campus",Chipotle,43,14,3.7143,0.7953949089757174
9,"Best Restaurants On Campus",Bobby's,44,12,3.5000,0.9574271077563381
9,"Best Restaurants On Campus",Beijing,45,11,2.0000,1.1281521496355325
9,"Best Restaurants On Campus",Wawa,46,15,3.6000,1.3564659966250536
10,"Best Restaurants Off Campus",Barbuzzo,47,4,4.5000,0.5000000000000001
3,"Best Food Trucks","Amir's Gyro",48,13,4.3846,1.146128032750103
3,"Best Food Trucks",MexiCali,49,10,4.3000,0.6403124237432848
3,"Best Food Trucks","Schmear It",50,19,4.4211,0.7480352843974681
3,"Best Food Trucks",Bui's,51,17,3.9412,1.055550496760374
12,"Best NETS 213 Project","Best Of Penn",52,12,3.6667,1.6499158227686108
1,"Best BYOs",Aksum,53,18,4.0000,0.8819171036881969
3,"Best Food Trucks",Tang's,54,7,2.8571,0.832993127835043
5,"Best Places to Study","Joe's Cafe",55,1,3.0000,0
6,"Best Drinks On Campus","$3 Long Island Iced ",56,10,4.1000,0.9433981132056604
8,"Best Dorm",Gregory,57,11,1.4545,0.4979295977319692
11,"Best Philly Neighborhood","South Street",58,7,4.5714,1.0497813183356477
11,"Best Philly Neighborhood",Gayborhood,59,8,4.5000,0.5
9,"Best Restaurants On Campus","White Dog",60,14,4.6429,0.6102859818083949
9,"Best Restaurants On Campus","Doc Magrogan's",61,6,3.6667,1.1055415967851334
9,"Best Restaurants On Campus",Koreana,62,14,4.2857,0.7953949089757175
9,"Best Restaurants On Campus",UTown,63,6,4.0000,1
9,"Best Restaurants On Campus","Frogro Food Court th",64,8,2.5000,1.3228756555322954
6,"Best Drinks On Campus","Copa Margs",65,14,4.5000,0.6267831705280087
10,"Best Restaurants Off Campus","Fogo de Chao",66,5,4.4000,1.2
10,"Best Restaurants Off Campus",Mercato,67,3,4.3333,0.4714045207910316
5,"Best Places to Study","Starbucks Under Comm",68,2,4.5000,0.5
5,"Best Places to Study","Van Pelt",69,1,5.0000,0
6,"Best Drinks On Campus","Mad Mex",70,13,4.2308,0.7994080650317895
7,"Best Drinks Off Campus",Rumor,71,6,2.3333,0.7453559924999298
7,"Best Drinks Off Campus",Recess,72,5,2.6000,0.4898979485566356
